#Datetime;Latitude;Longitude;Altitude;HDOP;Inside temp.;Outside temp;Outside humidity;Pressure;acceleration_x;acceleration_y;acceleration_z;rotation_x;rotation_y;rotation_z;speed
11:53:14.0;47.78888;3.59171;105.9;0.95;32.7;45.4;10;1009.2;-0.35;0.88;9.39;-0.02;0.02;0.00;0.2
11:53:46.10;47.78888;3.59171;108.0;0.89;32.7;46.7;10;1009.1;-0.36;0.89;9.43;-0.02;0.02;0.00;0.1
11:54:21.80;47.78889;3.59171;110.9;0.89;33.2;47.7;9;1009.1;-0.36;0.89;9.45;-0.02;0.02;0.00;0.1
11:54:53.90;47.78890;3.59172;108.9;0.89;33.3;47.8;8;1009.1;-0.36;0.90;9.40;-0.02;0.02;0.00;0.1
11:55:29.70;47.78889;3.59168;108.9;0.89;33.1;47.3;8;1009.1;-0.37;0.90;9.41;-0.02;0.02;0.00;0.1
11:56:01.80;47.78887;3.59169;106.3;0.95;32.9;47.1;8;1009.1;-0.35;0.90;9.43;-0.02;0.02;0.00;0.0
11:56:44.60;47.78888;3.59171;106.3;0.95;33.1;47.1;8;1009.2;-0.34;0.88;9.43;-0.02;0.02;0.00;0.0
11:57:20.30;47.78886;3.59171;103.7;0.88;33.6;47.4;9;1009.2;-0.35;0.88;9.42;-0.02;0.02;0.00;0.0
11:57:52.40;47.78886;3.59173;104.2;0.88;34.3;48.7;8;1009.2;-0.34;0.90;9.41;-0.02;0.02;0.00;0.0
11:58:28.10;47.78889;3.59174;104.9;0.94;34.8;47.1;10;1009.2;-0.35;0.89;9.39;-0.02;0.02;0.00;0.1
11:58:28.10;47.78889;3.59174;104.9;0.94;34.7;42.2;13;1009.1;1.71;2.90;8.70;0.29;0.26;-0.15;0.1
11:59:36.0;47.78889;3.59174;104.9;99.99;34.1;40.1;11;1009.3;-0.94;-0.78;7.36;-0.21;0.09;-0.06;0.1
12:00:08.10;47.78869;3.59238;103.6;0.88;34.8;38.5;13;1009.3;-0.46;0.57;9.42;-0.02;0.02;0.00;5.1
12:00:43.80;47.78867;3.59243;104.6;0.88;35.2;36.8;14;1009.3;-0.45;0.60;9.40;-0.02;0.02;0.00;0.1
12:01:26.40;47.78867;3.59243;103.8;0.88;34.2;36.2;14;1009.2;-2.95;0.37;6.22;-0.12;0.17;0.33;0.1
12:01:58.60;47.78875;3.59242;103.8;0.88;34.3;35.1;15;1009.4;-0.36;0.82;9.38;-0.02;0.02;0.00;2.5
12:02:34.30;47.78875;3.59241;111.9;1.00;34.0;34.4;16;1009.3;-0.34;0.82;9.39;-0.02;0.02;0.00;0.2
12:03:06.40;47.78864;3.59248;128.7;1.00;34.3;34.3;17;1009.3;-0.35;0.83;9.41;-0.02;0.02;0.00;0.3
12:03:42.10;47.78866;3.59247;131.0;1.03;33.5;33.9;18;1009.3;-0.34;0.82;9.44;-0.02;0.02;0.00;0.3
